,city_from,city_to,weight
732,Екатеринбург,Челябинск,7.0
733,Москва,Симферополь,0.8
734,Санкт-Петербург,Уфа,1.1
735,Санкт-Петербург,Армавир,9.2
736,Москва,"Мозырь, Гомельская обл.",2.14
737,Санкт-Петербург,Саранск,0.5
738,Красноярск,Тольятти,2.0
739,Москва,Санкт-Петербург,0.1
740,Волгоград,Чита,2.0
741,Бутово,Санкт-Петербург,0.13
742,Пушкино,Москва,0.3
743,Ульяновск,Голицыно,0.5
744,Санкт-Петербург,Североморск,16.0
745,Чебоксары,Москва,0.3
746,Благовещенск,Благовещенск,1.0
747,Москва,Азов,1.0
748,Москва,Орел,1.0
749,Ханты-Мансийск,Ханты-Мансийск,1.0
750,Москва,Геленджик,1.0
751,Москва,Астрахань,1.0
752,Москва,Калуга ,1.0
753,Новосибирск,Новосибирск,0.76
754,Москва,Курск,1.0
